AcedamicpercentageinOperating Systems,percentageinAlgorithms,PercentageinProgrammingConcepts,PercentageinSoftwareEngineering,PercentageinComputerNetworks,hackathons,codingskillsrating,certifications,talentteststaken,olympiads,memorycapabilityscore,Interestedsubjects,Typeofcompanywanttosettlein,ManagementorTechnical,workedinteamsever,SuggestedJobRole
70,67,64,82,77,0,2,full stack,no,yes,poor,parallel computing,Finance,Management,no,Business Systems Analyst
76,63,84,85,61,4,2,app development,no,yes,excellent,data engineering,Product based,Technical,yes,Design & UX
66,74,78,85,68,6,2,hadoop,yes,yes,excellent,Computer Architecture,SAaS services,Technical,no,Solutions Architect
83,83,62,82,61,6,9,app development,no,no,poor,Computer Architecture,Testing and Maintainance Services,Technical,no,Business Systems Analyst
66,71,72,60,93,5,7,shell programming,no,no,poor,hacking,BPA,Management,no,Systems Analyst
70,71,65,84,86,0,4,full stack,yes,no,medium,data engineering,Finance,Technical,no,Network Security Administrator
78,85,80,85,83,2,1,app development,yes,yes,poor,cloud computing,SAaS services,Technical,yes,Data Architect
74,67,94,65,94,1,6,python,yes,yes,excellent,Software Engineering,BPA,Technical,no,CRM Technical Developer
85,74,70,69,87,1,1,app development,yes,no,excellent,Software Engineering,Web Services,Technical,no,Software Developer
61,71,77,82,70,2,6,machine learning,yes,no,medium,IOT,Cloud Services,Technical,no,E-Commerce Analyst
71,83,80,71,85,4,8,full stack,no,yes,medium,Software Engineering,SAaS services,Management,yes,Technical Services/Help Desk/Tech Support
67,83,86,63,82,0,5,machine learning,yes,no,excellent,Management,Cloud Services,Technical,yes,Systems Analyst
76,82,76,62,94,6,8,shell programming,yes,no,medium,networks,Testing and Maintainance Services,Management,yes,Information Technology Auditor
69,81,74,62,60,4,2,python,no,yes,excellent,data engineering,BPA,Technical,no,Network Security Administrator
81,83,63,78,66,6,5,shell programming,yes,no,medium,Software Engineering,Finance,Technical,no,Database Manager
79,73,77,91,84,1,3,python,yes,no,poor,hacking,Product based,Management,yes,Web Developer
73,78,76,75,71,5,9,distro making,yes,no,poor,Computer Architecture,Service Based,Technical,yes,Information Security Analyst
69,71,88,82,88,1,1,information security,no,yes,poor,parallel computing,Web Services,Technical,no,E-Commerce Analyst
75,84,63,90,77,3,2,machine learning,yes,no,medium,hacking,SAaS services,Management,no,Technical Services/Help Desk/Tech Support
73,69,63,90,64,0,6,information security,yes,yes,poor,programming,BPA,Management,yes,Applications Developer
62,92,83,84,93,1,4,information security,yes,yes,medium,hacking,Cloud Services,Technical,no,Software Systems Engineer
69,73,86,91,77,5,2,hadoop,yes,yes,poor,cloud computing,Service Based,Technical,no,CRM Technical Developer
69,62,64,67,71,3,7,shell programming,yes,no,poor,parallel computing,Finance,Technical,yes,Database Manager
65,78,80,93,87,0,4,machine learning,yes,yes,poor,networks,Cloud Services,Technical,yes,Technical Support
76,87,80,67,66,6,1,full stack,yes,no,medium,Management,Web Services,Technical,no,Database Administrator
74,85,64,72,67,0,7,distro making,yes,no,poor,hacking,Testing and Maintainance Services,Technical,no,Network Engineer
86,63,73,94,70,4,3,machine learning,no,no,poor,data engineering,product development,Technical,no,Mobile Applications Developer
64,69,76,62,63,0,4,distro making,yes,yes,excellent,Computer Architecture,Web Services,Management,yes,Technical Services/Help Desk/Tech Support
93,94,70,85,68,2,8,full stack,yes,yes,excellent,parallel computing,Finance,Management,no,Technical Support
94,74,75,74,65,5,6,machine learning,yes,no,medium,Management,BPA,Technical,yes,Information Technology Manager
88,62,67,73,90,3,6,r programming,no,yes,poor,Management,Cloud Services,Management,yes,E-Commerce Analyst
76,91,84,66,84,5,1,python,no,no,medium,cloud computing,Service Based,Management,no,Software Developer
80,75,83,75,85,2,1,information security,no,yes,poor,Computer Architecture,BPA,Management,no,Solutions Architect
75,74,72,90,94,5,4,python,no,no,excellent,data engineering,Web Services,Management,yes,Software Systems Engineer
69,67,68,80,84,0,4,hadoop,yes,yes,poor,data engineering,Cloud Services,Management,yes,Network Engineer
83,84,66,70,64,2,7,r programming,yes,no,medium,networks,Service Based,Management,yes,Technical Support
88,72,79,90,70,0,9,hadoop,yes,no,poor,IOT,Service Based,Technical,yes,Information Technology Manager
83,66,93,68,74,0,6,information security,yes,yes,excellent,programming,Cloud Services,Technical,no,Software Engineer
83,68,63,61,70,5,6,information security,no,yes,medium,hacking,product development,Management,yes,Software Developer
89,89,68,63,75,4,7,python,yes,no,excellent,IOT,Cloud Services,Management,yes,Programmer Analyst
90,61,75,93,90,4,6,machine learning,no,no,poor,cloud computing,Service Based,Management,yes,CRM Business Analyst
91,62,71,87,64,6,4,machine learning,no,no,poor,Computer Architecture,Service Based,Technical,no,Software Developer
66,69,63,81,80,6,3,r programming,yes,yes,medium,parallel computing,Web Services,Management,no,Business Intelligence Analyst
61,74,91,81,80,3,4,r programming,no,no,poor,data engineering,Web Services,Technical,no,Database Administrator
92,74,71,68,84,3,4,distro making,yes,yes,excellent,IOT,Service Based,Management,yes,Technical Engineer
64,74,91,73,68,2,7,app development,yes,yes,poor,Management,Cloud Services,Technical,no,Data Architect
72,85,77,88,91,6,1,app development,yes,yes,medium,IOT,Sales and Marketing,Technical,yes,Network Security Engineer
74,86,65,84,66,0,3,full stack,no,yes,excellent,parallel computing,Testing and Maintainance Services,Management,no,CRM Technical Developer
88,80,67,91,66,0,3,app development,yes,yes,excellent,Management,BPA,Technical,yes,Software Developer
76,75,78,86,94,0,6,machine learning,no,yes,medium,data engineering,Testing and Maintainance Services,Technical,no,Systems Security Administrator
73,68,91,92,87,0,8,distro making,yes,no,excellent,Computer Architecture,Sales and Marketing,Technical,no,Network Engineer
63,61,79,91,78,0,1,shell programming,no,no,excellent,Management,Finance,Management,yes,Technical Services/Help Desk/Tech Support
60,64,93,93,81,3,9,machine learning,yes,yes,poor,Computer Architecture,Web Services,Technical,no,Systems Security Administrator
76,93,65,63,86,5,5,hadoop,yes,yes,medium,IOT,BPA,Management,yes,Web Developer
72,92,90,67,64,0,1,full stack,no,no,poor,Software Engineering,Service Based,Technical,no,Portal Administrator
85,67,77,91,64,5,6,full stack,no,yes,excellent,Computer Architecture,SAaS services,Management,yes,Software Developer
81,84,69,71,88,3,7,distro making,yes,yes,excellent,parallel computing,BPA,Management,no,Network Security Engineer
82,65,74,93,72,3,4,machine learning,no,no,excellent,networks,BPA,Technical,no,Solutions Architect
74,69,86,77,75,6,7,shell programming,yes,no,excellent,hacking,product development,Management,yes,Network Security Administrator
70,64,73,76,76,1,7,app development,yes,yes,excellent,data engineering,Service Based,Management,yes,Portal Administrator
71,67,61,65,68,5,6,shell programming,no,no,poor,IOT,Sales and Marketing,Technical,no,UX Designer
77,92,70,91,83,2,8,app development,no,no,poor,Management,BPA,Management,yes,Project Manager
60,85,74,91,66,3,7,hadoop,yes,no,poor,parallel computing,SAaS services,Management,yes,Project Manager
91,94,76,84,65,0,2,distro making,yes,yes,poor,Management,Finance,Technical,yes,Network Engineer
66,67,71,67,80,6,2,machine learning,no,yes,excellent,cloud computing,Product based,Management,no,Quality Assurance Associate
71,85,61,87,69,6,4,shell programming,no,no,medium,Management,Cloud Services,Technical,no,Applications Developer
82,69,71,80,72,1,8,shell programming,no,no,excellent,hacking,product development,Management,yes,Technical Engineer
81,91,93,69,86,3,2,distro making,no,no,medium,networks,BPA,Management,yes,Network Security Administrator
73,60,94,70,88,5,7,full stack,yes,no,excellent,Management,Testing and Maintainance Services,Management,yes,CRM Technical Developer
81,79,87,79,71,1,3,python,no,no,poor,Management,Service Based,Technical,yes,E-Commerce Analyst
60,77,90,94,94,4,1,information security,yes,yes,excellent,parallel computing,Testing and Maintainance Services,Management,no,Software Quality Assurance (QA) / Testing
78,62,85,92,67,3,7,machine learning,yes,yes,medium,hacking,Cloud Services,Technical,yes,Network Security Administrator
91,76,85,64,88,4,1,r programming,no,yes,poor,networks,Finance,Management,no,Network Engineer
92,69,62,67,83,5,8,information security,yes,no,poor,programming,SAaS services,Technical,no,Technical Engineer
81,64,61,82,76,5,1,machine learning,no,no,poor,parallel computing,Web Services,Management,yes,Systems Security Administrator
78,90,65,84,82,2,5,python,yes,yes,medium,Computer Architecture,BPA,Management,yes,Design & UX
83,67,76,86,85,5,8,app development,no,no,poor,Computer Architecture,Sales and Marketing,Management,yes,Database Administrator
69,91,87,70,86,6,1,hadoop,no,yes,excellent,parallel computing,Cloud Services,Management,yes,Programmer Analyst
63,93,69,61,82,3,4,python,yes,no,poor,programming,SAaS services,Technical,yes,Software Quality Assurance (QA) / Testing
77,86,67,84,90,5,4,machine learning,no,no,excellent,networks,Finance,Management,no,CRM Business Analyst
69,72,60,62,66,2,1,shell programming,yes,yes,medium,Management,Web Services,Technical,yes,Database Manager
73,90,75,66,86,0,3,python,yes,yes,medium,hacking,product development,Management,no,Software Developer
65,73,66,77,61,1,7,python,yes,yes,excellent,Management,Product based,Management,yes,Solutions Architect
77,70,87,80,70,5,7,shell programming,no,no,excellent,Software Engineering,Product based,Management,no,Information Security Analyst
64,67,79,71,71,3,1,machine learning,no,yes,medium,Software Engineering,Cloud Services,Management,no,Network Security Engineer
67,86,84,70,76,5,2,information security,yes,no,excellent,programming,Service Based,Technical,no,Network Engineer
83,68,92,77,60,0,6,shell programming,no,no,excellent,Software Engineering,Finance,Technical,no,Technical Support
81,60,86,85,78,3,2,information security,yes,yes,excellent,Computer Architecture,Sales and Marketing,Management,no,Systems Analyst
88,76,66,84,61,6,3,r programming,no,yes,medium,IOT,Service Based,Technical,no,Information Technology Auditor
72,76,78,91,72,0,4,hadoop,no,no,excellent,parallel computing,Service Based,Management,no,CRM Technical Developer
85,89,78,83,66,1,7,python,yes,yes,poor,Software Engineering,Sales and Marketing,Technical,no,Technical Services/Help Desk/Tech Support
90,80,80,62,81,3,1,python,no,no,poor,cloud computing,SAaS services,Technical,no,Software Quality Assurance (QA) / Testing
69,82,79,79,93,0,3,shell programming,no,no,excellent,cloud computing,SAaS services,Management,no,Business Systems Analyst
66,93,73,82,70,2,6,r programming,no,no,medium,hacking,BPA,Management,no,Technical Engineer
87,69,65,79,72,4,3,hadoop,no,yes,excellent,Computer Architecture,SAaS services,Technical,yes,Technical Support
83,74,60,88,86,5,5,hadoop,no,yes,medium,Computer Architecture,Finance,Technical,yes,Information Technology Auditor
60,82,79,84,80,2,6,information security,no,yes,medium,parallel computing,Web Services,Technical,yes,Network Security Administrator
71,93,70,64,69,6,6,hadoop,no,no,excellent,networks,Service Based,Management,yes,Information Technology Manager
89,92,74,87,67,0,3,shell programming,yes,yes,medium,cloud computing,Cloud Services,Management,no,Web Developer
91,75,79,69,60,2,8,r programming,yes,yes,excellent,networks,SAaS services,Technical,no,Business Systems Analyst
61,65,75,88,72,0,2,distro making,yes,no,poor,Management,Sales and Marketing,Technical,yes,Systems Analyst
83,68,60,88,81,2,5,information security,no,no,excellent,hacking,Product based,Technical,no,Web Developer
93,87,78,88,73,0,8,machine learning,yes,yes,medium,Software Engineering,Finance,Management,no,Solutions Architect
66,88,71,65,78,6,1,information security,no,no,excellent,cloud computing,Product based,Technical,no,UX Designer
65,79,64,84,79,6,3,full stack,no,yes,medium,programming,Web Services,Technical,yes,Network Engineer
83,84,82,60,88,3,9,information security,yes,yes,poor,data engineering,product development,Technical,no,Applications Developer
91,83,62,89,87,5,1,app development,yes,no,excellent,Management,Finance,Technical,no,Project Manager
84,67,93,64,76,1,8,machine learning,no,yes,excellent,hacking,Web Services,Management,no,UX Designer
90,74,80,69,70,4,7,shell programming,yes,no,medium,data engineering,Product based,Technical,yes,Database Administrator
79,80,66,73,87,1,1,shell programming,yes,no,excellent,programming,Cloud Services,Management,no,Information Technology Auditor
82,79,76,70,66,0,1,hadoop,no,yes,poor,networks,product development,Management,yes,Database Developer
77,92,64,67,82,4,7,hadoop,no,yes,excellent,hacking,BPA,Technical,yes,Database Manager
94,85,68,74,60,1,9,information security,no,no,excellent,IOT,Sales and Marketing,Technical,no,Software Systems Engineer
86,89,67,74,73,1,9,app development,yes,no,medium,Computer Architecture,SAaS services,Management,yes,UX Designer
63,87,86,92,70,0,1,shell programming,yes,no,excellent,parallel computing,Web Services,Management,no,Solutions Architect
74,76,75,91,76,5,9,app development,no,no,medium,programming,Sales and Marketing,Management,yes,Project Manager
65,68,73,70,79,1,6,machine learning,yes,no,excellent,parallel computing,SAaS services,Management,no,Network Engineer
92,81,75,77,74,1,6,information security,yes,yes,excellent,cloud computing,Finance,Technical,no,E-Commerce Analyst
74,73,78,88,72,4,8,information security,no,no,poor,networks,Sales and Marketing,Management,no,Business Systems Analyst
85,88,64,78,82,1,7,full stack,yes,yes,medium,programming,Sales and Marketing,Management,no,E-Commerce Analyst
63,64,77,84,63,2,1,shell programming,yes,yes,medium,IOT,Finance,Technical,no,Systems Security Administrator
61,69,65,64,91,0,4,app development,no,yes,excellent,programming,SAaS services,Technical,yes,Mobile Applications Developer
60,84,74,93,76,1,6,machine learning,yes,no,poor,networks,SAaS services,Management,no,Business Systems Analyst
92,89,79,85,71,0,8,python,no,yes,poor,data engineering,Cloud Services,Technical,no,Quality Assurance Associate
76,63,62,86,87,1,7,machine learning,yes,no,poor,Software Engineering,Finance,Management,yes,Technical Engineer
87,94,90,84,74,1,2,app development,no,yes,excellent,parallel computing,Web Services,Management,yes,Data Architect
67,87,75,76,83,0,5,hadoop,yes,yes,poor,data engineering,Sales and Marketing,Technical,yes,Software Quality Assurance (QA) / Testing
69,88,82,76,65,5,8,r programming,yes,yes,excellent,data engineering,Sales and Marketing,Management,no,CRM Technical Developer
72,63,80,65,89,5,4,hadoop,yes,no,poor,networks,Product based,Management,no,Database Developer
88,68,84,83,87,5,3,hadoop,no,yes,poor,cloud computing,Cloud Services,Technical,no,Information Security Analyst
60,93,83,82,85,5,5,information security,yes,no,medium,Software Engineering,Testing and Maintainance Services,Technical,yes,Software Systems Engineer
66,77,78,79,85,6,2,distro making,yes,yes,excellent,programming,BPA,Technical,yes,Design & UX
64,63,84,93,92,0,6,full stack,no,yes,excellent,data engineering,Finance,Technical,no,Database Developer
74,71,63,73,72,0,4,full stack,no,yes,poor,programming,product development,Technical,no,Systems Analyst
90,89,81,86,79,6,9,python,yes,yes,poor,hacking,product development,Technical,no,Business Intelligence Analyst
62,71,78,87,74,3,1,shell programming,no,no,poor,parallel computing,Finance,Management,no,Software Engineer
60,80,88,88,76,2,8,hadoop,yes,no,medium,parallel computing,Service Based,Technical,no,Network Security Administrator
92,75,74,64,91,3,1,hadoop,no,yes,medium,Computer Architecture,Product based,Technical,no,UX Designer
77,82,77,68,70,4,1,hadoop,no,no,excellent,cloud computing,Web Services,Management,yes,Information Security Analyst
76,65,84,75,85,4,6,distro making,no,no,medium,cloud computing,SAaS services,Management,no,Software Systems Engineer
71,75,76,77,71,6,6,full stack,no,yes,poor,IOT,product development,Management,yes,Network Engineer
69,63,74,77,63,6,3,hadoop,no,no,poor,programming,Finance,Management,no,Network Security Administrator
64,80,69,60,92,4,3,information security,yes,no,medium,programming,Testing and Maintainance Services,Management,no,Programmer Analyst
72,68,85,84,64,1,2,full stack,yes,yes,medium,cloud computing,Testing and Maintainance Services,Technical,no,Information Technology Manager
91,78,84,65,69,3,9,app development,no,no,poor,data engineering,Web Services,Management,no,Web Developer
62,88,76,82,90,1,4,information security,yes,yes,medium,cloud computing,Finance,Management,yes,Web Developer
61,90,65,71,66,6,2,full stack,no,no,poor,Computer Architecture,Testing and Maintainance Services,Management,yes,Portal Administrator
87,90,90,80,67,0,2,shell programming,yes,no,medium,programming,Web Services,Management,no,Solutions Architect
60,94,91,76,79,1,9,app development,yes,no,medium,programming,Testing and Maintainance Services,Management,no,Portal Administrator
60,72,88,83,93,4,6,app development,no,yes,poor,IOT,Finance,Technical,no,Information Technology Manager
75,75,90,68,62,4,6,information security,no,no,poor,Software Engineering,product development,Technical,yes,Database Administrator
66,89,91,69,79,4,5,machine learning,yes,no,excellent,IOT,Testing and Maintainance Services,Technical,yes,Software Developer
64,91,60,68,91,1,8,app development,yes,yes,excellent,programming,Sales and Marketing,Technical,yes,Portal Administrator
80,63,78,78,71,6,3,r programming,yes,yes,poor,networks,Testing and Maintainance Services,Management,yes,Applications Developer
66,67,94,93,62,0,4,full stack,no,yes,poor,data engineering,SAaS services,Technical,no,Design & UX
85,81,85,88,64,6,6,r programming,yes,no,medium,parallel computing,Cloud Services,Management,no,Network Security Engineer
84,92,64,76,86,0,4,information security,no,yes,poor,programming,Sales and Marketing,Technical,no,Solutions Architect
74,80,83,79,89,1,8,app development,yes,no,excellent,cloud computing,Testing and Maintainance Services,Management,no,Systems Analyst
61,74,93,84,79,5,8,full stack,yes,no,medium,parallel computing,Product based,Technical,yes,UX Designer
64,81,78,92,72,5,6,machine learning,no,yes,medium,cloud computing,SAaS services,Technical,no,CRM Technical Developer
79,70,91,84,66,3,9,python,no,yes,medium,cloud computing,Finance,Management,no,Technical Support
85,92,61,93,74,0,7,shell programming,no,no,poor,programming,Testing and Maintainance Services,Technical,yes,Information Technology Manager
94,69,81,79,90,1,7,distro making,yes,no,medium,programming,BPA,Technical,yes,Systems Security Administrator
88,67,68,72,73,2,2,app development,yes,no,poor,Management,Web Services,Management,yes,Data Architect
90,87,73,76,64,0,4,hadoop,no,yes,medium,hacking,Testing and Maintainance Services,Technical,no,Business Intelligence Analyst
76,81,77,82,79,6,8,python,yes,yes,poor,parallel computing,Web Services,Technical,yes,UX Designer
73,69,78,75,90,0,3,machine learning,no,no,medium,Computer Architecture,Product based,Technical,no,Portal Administrator
92,68,75,66,79,5,4,distro making,no,yes,poor,hacking,BPA,Technical,no,Database Administrator
88,62,78,61,69,2,2,shell programming,yes,no,poor,data engineering,Service Based,Technical,no,Network Security Engineer
69,72,80,78,92,0,3,distro making,yes,no,medium,Software Engineering,BPA,Technical,yes,Applications Developer
84,65,76,72,91,5,5,full stack,yes,no,excellent,hacking,Product based,Technical,yes,Software Quality Assurance (QA) / Testing
89,80,70,60,60,0,9,distro making,no,no,excellent,hacking,Product based,Management,no,Database Manager
89,65,86,78,70,1,7,full stack,yes,no,medium,IOT,Cloud Services,Technical,yes,Portal Administrator
67,63,70,78,80,4,1,information security,yes,yes,poor,programming,BPA,Technical,yes,Software Developer
91,87,73,64,65,6,6,app development,yes,no,poor,parallel computing,Testing and Maintainance Services,Technical,no,CRM Business Analyst
94,67,72,81,90,6,5,distro making,no,no,excellent,Software Engineering,Finance,Management,no,Database Developer
80,66,67,62,89,2,5,full stack,yes,yes,poor,Software Engineering,Testing and Maintainance Services,Management,yes,Software Quality Assurance (QA) / Testing
72,72,67,80,68,6,6,full stack,no,yes,excellent,Management,Cloud Services,Technical,yes,Software Quality Assurance (QA) / Testing
65,82,71,92,69,6,2,full stack,yes,no,poor,hacking,Service Based,Technical,yes,UX Designer
79,68,69,70,91,4,4,information security,yes,no,poor,parallel computing,Service Based,Management,yes,Network Security Administrator
91,65,84,76,81,3,4,full stack,no,yes,medium,networks,Finance,Management,yes,Business Systems Analyst
81,66,79,77,90,5,1,information security,yes,no,poor,parallel computing,Testing and Maintainance Services,Technical,yes,CRM Technical Developer
86,65,85,61,79,0,7,app development,no,yes,poor,data engineering,Web Services,Management,no,Project Manager
91,80,79,78,82,3,8,full stack,yes,yes,excellent,Software Engineering,Product based,Technical,no,Technical Support
60,81,64,73,74,4,1,python,no,yes,medium,hacking,product development,Technical,no,Systems Security Administrator
80,90,86,64,71,3,5,information security,no,no,poor,Computer Architecture,BPA,Technical,no,UX Designer
89,63,83,87,69,6,8,shell programming,yes,no,poor,programming,Cloud Services,Management,yes,Programmer Analyst
92,72,79,83,79,1,8,hadoop,no,no,excellent,data engineering,Sales and Marketing,Technical,no,Network Security Engineer
64,61,68,85,69,3,6,r programming,yes,no,medium,Software Engineering,product development,Management,no,Database Manager
91,69,88,78,77,5,8,machine learning,yes,yes,poor,IOT,BPA,Management,yes,Web Developer
67,93,75,85,94,0,2,r programming,no,yes,excellent,networks,BPA,Management,yes,Programmer Analyst
66,77,87,65,87,3,5,distro making,yes,yes,excellent,cloud computing,Cloud Services,Management,no,Applications Developer
80,78,60,91,80,0,3,app development,no,no,excellent,hacking,Service Based,Technical,yes,Business Systems Analyst
94,90,69,64,67,2,9,r programming,no,yes,poor,hacking,Sales and Marketing,Technical,no,Business Intelligence Analyst
76,85,85,91,79,6,6,app development,yes,yes,excellent,parallel computing,BPA,Management,yes,Software Developer
77,73,82,70,78,5,5,shell programming,yes,yes,poor,parallel computing,SAaS services,Technical,no,Network Engineer
89,78,75,62,86,1,9,app development,no,yes,excellent,parallel computing,Sales and Marketing,Management,yes,Information Technology Manager
93,89,80,80,86,6,3,full stack,no,yes,poor,hacking,Web Services,Technical,yes,Technical Engineer
93,60,82,77,79,1,9,information security,no,no,poor,data engineering,Finance,Technical,no,Web Developer
71,62,69,86,74,4,6,app development,no,no,excellent,networks,SAaS services,Technical,no,Solutions Architect
92,87,88,61,67,5,3,distro making,yes,no,medium,IOT,Finance,Management,no,Business Intelligence Analyst
87,69,94,83,67,2,5,python,no,yes,excellent,data engineering,Finance,Technical,yes,Quality Assurance Associate
77,63,80,81,82,4,1,distro making,no,no,medium,hacking,Finance,Technical,no,Network Engineer
70,60,80,69,65,4,8,shell programming,yes,yes,medium,Software Engineering,SAaS services,Management,yes,Mobile Applications Developer
91,67,92,74,93,2,9,app development,no,no,medium,networks,product development,Technical,yes,Network Security Administrator
65,78,66,81,84,0,6,app development,no,no,excellent,IOT,SAaS services,Technical,yes,Software Engineer
60,74,89,82,61,3,1,python,no,no,poor,cloud computing,Sales and Marketing,Management,no,Portal Administrator
61,60,90,93,77,5,2,full stack,no,yes,excellent,cloud computing,Cloud Services,Management,no,Programmer Analyst
87,71,81,94,79,6,9,hadoop,no,yes,poor,Computer Architecture,product development,Technical,yes,Software Engineer
90,64,60,88,60,1,8,distro making,yes,no,poor,Management,Cloud Services,Technical,no,Information Technology Auditor
61,68,67,69,91,4,9,python,yes,no,medium,cloud computing,SAaS services,Management,no,Information Technology Auditor
76,60,90,64,71,5,1,information security,no,no,medium,Computer Architecture,product development,Management,yes,Information Security Analyst
92,74,60,65,92,0,4,python,yes,yes,medium,parallel computing,BPA,Technical,no,CRM Technical Developer
77,71,74,61,76,3,7,python,no,yes,poor,parallel computing,Testing and Maintainance Services,Management,yes,Database Developer
72,71,92,81,77,1,2,machine learning,no,no,excellent,IOT,Sales and Marketing,Technical,yes,Database Developer
64,65,88,83,87,0,8,distro making,no,no,poor,Computer Architecture,product development,Technical,no,Software Engineer
69,73,89,94,74,0,2,distro making,no,no,poor,cloud computing,Finance,Technical,yes,UX Designer
64,93,85,70,80,2,6,distro making,no,yes,poor,cloud computing,product development,Technical,no,Technical Engineer
73,65,79,70,66,2,9,distro making,no,yes,medium,data engineering,Product based,Technical,no,CRM Business Analyst
74,91,88,82,82,5,9,shell programming,no,yes,medium,parallel computing,Testing and Maintainance Services,Management,yes,Database Developer
60,92,79,85,69,5,9,app development,no,yes,medium,Software Engineering,SAaS services,Technical,no,CRM Technical Developer
90,61,91,76,75,3,8,machine learning,no,no,excellent,networks,Service Based,Management,no,Network Engineer
63,87,62,83,76,1,7,hadoop,yes,yes,excellent,Management,Finance,Technical,no,Solutions Architect
63,91,72,72,92,6,7,information security,yes,yes,excellent,programming,Product based,Management,yes,Network Security Engineer
67,91,71,78,75,5,3,machine learning,yes,no,poor,IOT,Testing and Maintainance Services,Management,no,UX Designer
69,72,83,85,62,1,8,r programming,yes,no,excellent,Software Engineering,product development,Management,no,Project Manager
94,66,77,61,69,6,6,python,yes,no,medium,data engineering,Sales and Marketing,Technical,yes,Technical Services/Help Desk/Tech Support
88,90,92,89,73,2,5,app development,yes,no,poor,cloud computing,Finance,Management,no,Network Security Administrator
71,74,82,85,83,2,8,information security,yes,no,poor,Software Engineering,Testing and Maintainance Services,Management,no,Information Technology Auditor
80,79,78,80,66,2,1,app development,yes,no,medium,programming,Cloud Services,Technical,no,Software Quality Assurance (QA) / Testing
62,92,82,70,79,2,1,app development,yes,yes,medium,hacking,Finance,Management,yes,Database Administrator
